Entity,Code,Year,Solar Generation - TWh
Argentina,ARG,2012,0.008172967
Argentina,ARG,2013,0.015074079
Argentina,ARG,2014,0.015944
Argentina,ARG,2015,0.014683
Argentina,ARG,2016,0.014273
Argentina,ARG,2017,0.016417
Argentina,ARG,2018,0.10813
Argentina,ARG,2019,0.79969794
Argentina,ARG,2020,1.344358
Argentina,ARG,2021,2.1955633
Brazil,BRA,2012,0.00098
Brazil,BRA,2013,0.004793593
Brazil,BRA,2014,0.016081803
Brazil,BRA,2015,0.05891741
Brazil,BRA,2016,0.08526059
Brazil,BRA,2017,0.8318134
Brazil,BRA,2018,3.4614348
Brazil,BRA,2019,6.654579
Brazil,BRA,2020,10.748342
Brazil,BRA,2021,16.752281
Chile,CHL,2012,0.00034039
Chile,CHL,2013,0.00675656
Chile,CHL,2014,0.458713
Chile,CHL,2015,1.3601003
Chile,CHL,2016,2.5502636
Chile,CHL,2017,3.8959484
Chile,CHL,2018,5.118721
Chile,CHL,2019,6.300226
Chile,CHL,2020,7.6148434
Chile,CHL,2021,10.596327
Ecuador,ECU,2012,0.00032566
Ecuador,ECU,2013,0.003663607
Ecuador,ECU,2014,0.016482696
Ecuador,ECU,2015,0.036057927
Ecuador,ECU,2016,0.038754817
Ecuador,ECU,2017,0.03748
Ecuador,ECU,2018,0.038079325
Ecuador,ECU,2019,0.16645227
Ecuador,ECU,2020,0.03776
Ecuador,ECU,2021,0.03687
Peru,PER,2012,0.0597
Peru,PER,2013,0.1969
Peru,PER,2014,0.1993
Peru,PER,2015,0.23025534
Peru,PER,2016,0.241
Peru,PER,2017,0.329723
Peru,PER,2018,0.7967
Peru,PER,2019,0.8329
Peru,PER,2020,0.84927416
Peru,PER,2021,0.87547284
